process count
152

process list
  PID TTY      STAT   TIME COMMAND
12860 ?        I      0:00 [kworker/u4:0]
12943 ?        I      0:00 [kworker/u4:1]
12956 ?        I      0:00 [kworker/0:0]
13150 pts/5    S+     0:00 make -f script/Makefile eval
13212 pts/5    S+     0:00 /bin/sh -c ./script/process.sh | tee log/process.log
13213 pts/5    S+     0:00 /bin/bash ./script/process.sh
13214 pts/5    S+     0:00 tee log/process.log
13217 pts/5    R+     0:00 ps ax
13607 ?        I      0:04 [kworker/1:3]
13763 ?        Sl     0:01 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/d74eb2e243dfc088732b1f8ccf951f45258f298f44d36dc912656bcbf5539be0 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
13795 ?        Ss     0:02 /usr/bin/tail -f /var/log/faillog
15458 ?        I      0:00 [kworker/1:1]
15481 ?        Ss     0:00 /lib/systemd/systemd-udevd
15486 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
15488 ?        Ss     0:00 /lib/systemd/systemd-logind
15505 ?        Ss     0:12 /lib/systemd/systemd-networkd
15530 ?        Ss     0:00 /lib/systemd/systemd-resolved
16009 ?        Ss     0:00 sshd: thaim [priv]
16113 ?        S      0:01 sshd: thaim@pts/5
16114 pts/5    Ss     0:02 -bash
30268 pts/3    Sl     0:00 spring server | spacely_web | started 48 hours ago
30270 ?        Ssl    0:56 spring app    | spacely_web | started 48 hours ago | RAILS_ENV=staging mode
30467 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 3306 -container-ip 172.21.0.2 -container-port 3306
30474 ?        Sl     0:05 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/12dd92559f4e272cfe6f47fbfa13a7c37e037a1122047cb46e4d37251e306f3a -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
30493 ?        Ssl    1:08 mysqld
30748 ?        Ssl    1:00 spring app    | spacely_web | started 48 hours ago | staging mode
31934 ?        Ss     0:00 /usr/sbin/cron -f

check idle process with sar
